Peachbell,6,0.659,0.673,0.739,0.806,0.766,0.659,105
Peachbell,6,0.659,0.673,0.739,0.806,0.766,0.659,105
Rose,4,0.414,0.423,0.465,0.506,0.729,0.414,135
Iris,2,0.260,0.266,0.292,0.318,0.692,0.260,185
Pansy,1,0.207,0.211,0.232,0.253,0.671,0.207,215
Poppy,1/0,0.164,0.167,0.184,0.200,0.655,0.164,245
Aster,2/0,0.130,0.133,0.146,0.159,0.634,0.130,285
Phlox,3/0,0.103,0.105,0.116,0.126,0.618,0.103,330
Oxlip,4/0,0.0816,0.0835,0.0917,0.100,0.602,0.0816,380
Daisy,266.8,0.0647,0.0663,0.0727,0.0794,0.581,0.0647,440
Laurel,266.8,0.0648,0.0663,0.0727,0.0794,0.581,0.0648,445
Tulip,336.4,0.0513,0.0527,0.0578,0.0629,0.560,0.0513,510
Cosmos,477,0.0363,0.0373,0.0409,0.0445,0.533,0.0363,640
Syringa,477,0.0363,0.0373,0.0409,0.0445,0.533,0.0363,640
Zinnia,500,0.0346,0.0356,0.0390,0.0426,0.533,0.0346,660
Dahlia,556.5,0.0311,0.0320,0.0352,0.0383,0.522,0.0311,700
Orchid,636,0.0272,0.0282,0.0309,0.0335,0.511,0.0272,760
Violet,715,0.0241,0.0250,0.0275,0.0299,0.502,0.0241,820
*Arbutus,795,0.0217,0.0227,0.0248,0.0269,0.494,0.0217,880
Magnolia,954,0.0181,0.0191,0.0208,0.0227,0.479,0.0181,980
Bluebell,1033.5,0.0167,0.0177,0.0193,0.0210,0.473,0.0167,1030
Columbine,1351.5,0.0128,0.0138,0.0151,0.0163,0.452,0.0128,1210
Coreopsis,1590,0.0128,0.0120,0.0130,0.0141,0.439,0.0128,1230
Cowslip,2000,0.00865,0.00994,0.0107,0.0115,0.421,0.00865,1520
Lupine,2500,0.00699,0.00845,0.00907,0.00970,0.404,0.00699,1700
