Voltage_kv,Struct_type,struct_code,Case,Conductor_type,Conductor_code,Conductor_kcm,Conductor_kcm2,bundling,Groundwire_type,Groundwire_code,n_circuits,r1_ohm_mile,x1_ohm_mile,b1_us_mile,Ampacity_A,MVA,sil_MW
230,H frame,2H1_PVOGTLE,S,ACSR,Grosbeak,636,700,2,Alumoweld,7/8,1,0.08750241779426163,0.5724598300887718,7.444998023261585,1580.0,629.4272634705301,190.7723619624735
230,H frame,2H1_PVOGTLE,M,ACSR,Drake,795,850,2,Alumoweld,7/8,1,0.07034241779426167,0.5661238300887719,7.536147969489289,1820.0,725.036468048332,193.0077120142693
230,H frame,2H1_PVOGTLE,L,ACSR,Cardinal,954,1000,2,Alumoweld,7/8,1,0.05951841779426166,0.5611078300887717,7.601857035541987,1980.0,788.7759377668667,194.7118379866051
345,Lattice,3L2,S,ACSR,Cardinal,954,1000,2,Alumoweld,7/8,1,0.06006449516055484,0.6179018739262885,6.9113390426126315,1980.0,1183.1639066503,398.07007726968413
345,Lattice,3L2,M,ACSR,Bluebird,2156,2200,2,Alumoweld,7/8,1,0.029176495160554844,0.5954618739262886,7.200848786380031,3220.0,1924.1352421282659,413.90727116783074
345,Lattice,3L2,L,ACSR,Drake,795,850,3,Alumoweld,7/8,1,0.04774449516055486,0.5481898692194415,7.782984592311957,2730.0,1631.332053108747,448.4827803625601
500,Lattice,5L4,S,ACSR,Bluebird,2156,2200,2,Alumoweld,7/8,1,0.029450127673688598,0.5901131270541549,7.24931128440009,3220.0,2788.6018001858924,876.2353000737893
500,Lattice,5L4,M,ACSR,Bittern,1272,1300,3,Alumoweld,7/8,1,0.03165012767368859,0.5358011223473078,7.960886335370718,3480.0,3013.7684051698466,963.6490791929665
500,Lattice,5L4,L,ACSR,Drake,795,850,4,Alumoweld,7/8,1,0.03644612767368864,0.4949636195172667,8.596008290808378,3640.0,3152.3324697753565,1041.841810053029
765,Lattice,7L1,S,ACSR,Bittern,1272,1300,4,Alumoweld,7/8,1,0.024540910493441564,0.5347397887543823,7.987904501780664,4640.0,6148.087546546486,2261.8721449988743
765,Lattice,7L1,M,ACSR,Drake,795,850,6,Alumoweld,7/8,1,0.025244910493441602,0.4769332808997489,8.957735480202274,5460.0,7234.603018134443,2536.256497532382
765,Lattice,7L1,L,ACSR,Bluejay,1113,1100,6,Alumoweld,7/8,1,0.019084910493441562,0.47473328089974887,9.011816962359557,6420.0,8506.621131213025,2549.788817128597
230,Lattice,2L1_ASEC,S,ACSR,Grosbeak,636,700,2,Alumoweld,7/8,2,0.08783553857361105,0.5515411450607715,7.809417917539791,1580.0,629.4272634705301,199.05635445872656
230,Lattice,2L1_ASEC,M,ACSR,Drake,795,850,2,Alumoweld,7/8,2,0.07067553857361104,0.5452051450607717,7.910141268558297,1820.0,725.036468048332,201.4966448769315
230,Lattice,2L1_ASEC,L,ACSR,Cardinal,954,1000,2,Alumoweld,7/8,2,0.059851538573611036,0.5401891450607716,7.9828370300190485,1980.0,788.7759377668667,203.3580539349766
345,Lattice,3L11,S,ACSR,Cardinal,954,1000,2,Alumoweld,7/8,2,0.060417072683168135,0.571814216468555,7.540921284378496,1980.0,1183.1639066503,432.2379746677455
345,Lattice,3L11,M,ACSR,Bluebird,2156,2200,2,Alumoweld,7/8,2,0.02952907268316814,0.5493742164685551,7.887474836719576,3220.0,1924.1352421282659,450.9963707075201
345,Lattice,3L11,L,ACSR,Drake,795,850,3,Alumoweld,7/8,2,0.048097072683168124,0.5021022117617081,8.592753318353667,2730.0,1631.332053108747,492.3889465096742
500,Lattice,5L12,S,ACSR,Bluebird,2156,2200,2,Alumoweld,7/8,2,0.028793540486377847,0.5887745999236962,7.2935844026276735,3220.0,2788.6018001858924,879.9053983883036
500,Lattice,5L12,M,ACSR,Bittern,1272,1300,3,Alumoweld,7/8,2,0.030993540486377827,0.5344625952168491,8.019055929815917,3480.0,3013.7684051698466,968.3736685502345
500,Lattice,5L12,L,ACSR,Drake,795,850,4,Alumoweld,7/8,2,0.03578954048637782,0.49362509238680796,8.668759037437248,3640.0,3152.3324697753565,1047.6587878721307
